outOfDomain	Does the Express Holiday Inn clean their bathrooms every night?
outOfDomain	Well only if they have good breakfast options?
outOfDomain	What do you think of the values for money there?
outOfDomain	Do you know if the beds there are comfortable?
outOfDomain	Does it have a clean bathroom?
outOfDomain	Yes, please I would like a place that is quiet and peaceful.
outOfDomain	Will I have good value for money?
outOfDomain	Does this hotel have friendly staff?
outOfDomain	Yes a strong water pressure for the shower is important for me, does this hotel have that?
outOfDomain	Is this in a quiet area of town?
outOfDomain	Which has the most comfortable beds?
outOfDomain	Are their bathrooms pretty nicely kept up?
outOfDomain	How clean are the bathrooms there?
outOfDomain	Is the hotel around a quiet area?
outOfDomain	Which one has the cleanest bathrooms?
outOfDomain	Will be the staffs friendly here?
outOfDomain	Matters does it offer breakfast?
outOfDomain	Which place is the quietest?
outOfDomain	How does it compare in terms of value for money?
outOfDomain	It has a big room right?
outOfDomain	In your opinion, am I getting the best bang for my buck?
outOfDomain	Can you tell me if the staff are friendly?
outOfDomain	Matters is the bathroom nice and clean?
outOfDomain	I'm considering it. Is Rosa's a good value for the money?
outOfDomain	Please recommend one with the larger rooms.
outOfDomain	Does this hotel have good and friendly staff?
outOfDomain	Is this in a good location for travelling?
outOfDomain	Does this place have good breakfast options?
outOfDomain	Will my room have a decent view?
outOfDomain	Do you know if it has stable internet?
outOfDomain	Does the hotel have good customer service as well as friendly staff?
outOfDomain	Is their bathroom there sanitary?
outOfDomain	In your opinion, am I getting the best bang for my buck?
outOfDomain	Is it in a quiet place?
outOfDomain	Could you tell me if they have a high rating for friendly service?
outOfDomain	Does the Avalon have big rooms?
outOfDomain	And the Gonville hotel has a good location, near the centre?
outOfDomain	It doesn't matter. Does it have any room with a good view?
outOfDomain	What's the view like from the room there?
outOfDomain	I would like to know first if the warkworth house is considered to be a quiet place?
outOfDomain	is it quiet there?
outOfDomain	Is this a place that's a good value for the cost?
outOfDomain	Does it have a comfortable bed?
outOfDomain	Could you tell me if it is a good value for my money?
outOfDomain	It is considered a good value, right?
outOfDomain	Before that, does the hotel offer rooms with strong water pressure in the shower?
outOfDomain	Is the web connection okay there?
outOfDomain	Is it in the best location of town?
outOfDomain	Do they have nice beds? It must be comfortable.
outOfDomain	Does the staff there have a reputation for being friendly?
outOfDomain	Can I get a big room there?
outOfDomain	Is the staff nice and kind?
outOfDomain	Is that in the right location though?
outOfDomain	Is this a place with very clean rooms?
outOfDomain	How well is this place rated on cleanliness of the hotel rooms?
outOfDomain	Are the rooms there clean?
outOfDomain	Do you know if the bathrooms there are clean?
outOfDomain	Is the internet connection stable?
outOfDomain	Which place has more friendly staffs?
outOfDomain	Great! How far is it located from major attractions?
outOfDomain	Is it located in a nice area?
outOfDomain	I need a really big room do they have that?
outOfDomain	Do both places have friendly staffs?
outOfDomain	Does the hotels have strong showers?
outOfDomain	Does the Hosons have a stable internet connection?
outOfDomain	Does this hotel have good internet?
outOfDomain	Do the rooms offer a good view?
outOfDomain	Is this in a good location?
outOfDomain	What type of breakfast options does it offer?
outOfDomain	Is the guest house in a convenient location? I want make sure before I book.
outOfDomain	Are the rooms clean?
outOfDomain	Wait. Do they have strong water pressure in their showers?
outOfDomain	Is this location a quiet place?
outOfDomain	Wait. Is it a quiet place to stay at?
outOfDomain	Which hotel does offer a better view of the city from the room?
outOfDomain	How is the staff at the Gonville Hotel?
outOfDomain	Can you find me a room that is spacious?
outOfDomain	How are the breakfast options there?  I want a place with something good.
outOfDomain	Would you please verify that they have clean rooms?
outOfDomain	is it quiet?
outOfDomain	Does the Ashley Hotel have rooms that are big?
outOfDomain	What is the values for money that I expect from this hotel?
outOfDomain	Does the room have a good view?
outOfDomain	Are their rooms clean?
outOfDomain	Is that hotel in a good location?
outOfDomain	Does this place have comfortable beds?
outOfDomain	Is the Lensfield Hotel located in a good location with lots of attractions?
outOfDomain	is this place located on a good spot?
outOfDomain	Yes is there a good web connection from the room booked?
outOfDomain	First can you tell me if they clean their bathrooms regularly? That is really important to me.
outOfDomain	Are the bathrooms clean there?
outOfDomain	Expensive price range, so can we expect stable internet connection?
outOfDomain	How is the location there?  I want to be in a good part of town.
outOfDomain	Does it have a large room?
outOfDomain	Are the bathrooms well kept there?
outOfDomain	Do they have comfortable beds at Rosa's Bed and Breakfast?
outOfDomain	Is this place really quiet? This is very important to me.
outOfDomain	Actually that will work if I get the best bang for my buck.
outOfDomain	I'd like to make sure that they have clean bathrooms first.
outOfDomain	I'd like the one that has bigger rooms.
outOfDomain	Can I book a big room there?
outOfDomain	How good is the water pressure there?
outOfDomain	Does it have a reputation for comfortable beds?
outOfDomain	Can I ask a big room there?
outOfDomain	Is this a place with good value for the money?
outOfDomain	Is the location pretty good for this guesthouse?
outOfDomain	How well do they clean the bathrooms?
outOfDomain	I wouldnÕt bring my car. I just need a clean room, what is the housekeeping rating?
outOfDomain	Is the Allenbell worth the money?
outOfDomain	Is the Allenbell a good deal?
outOfDomain	What are the breakfast options there?
outOfDomain	Is that place one that is assumed to be good value for the money?
outOfDomain	is it quiet? because that is what I need.
outOfDomain	How about the view from the guestrooms? Is it nice?
outOfDomain	Do they have a tidy bathroom?
outOfDomain	Does this option have any good deals?
outOfDomain	Yes, I want to make sure that the place has large rooms as well?
outOfDomain	Do you think the rooms there are worth the money?
outOfDomain	Does that place more often than not come with clean rooms?
outOfDomain	How quiet are these hotel?
outOfDomain	Does it have the best value for the money?
outOfDomain	Does it offer a pretty good value for the money?
outOfDomain	Is Warkworth House a quiet place to stay?
outOfDomain	Will you tell me if their rooms have good views?
outOfDomain	Is the water pressure fairly strong here?
outOfDomain	How good is the view from my hotel room?
outOfDomain	Do yo know if they are known for having clean bathrooms?
outOfDomain	Yes, I'm wondering, is it a quiet hotel?
outOfDomain	That might work.  Are the rooms there big?
outOfDomain	Oh, and one more thing. Is the Acorn Guest House a good value for the money?
outOfDomain	I prefer having a larger room. Can you tell me the size of the room that I booked?
outOfDomain	Do they have good and friend stuff
outOfDomain	Is it in a good location?
outOfDomain	Would you consider the Acorn Guest House a good location?
outOfDomain	Would you please verify that it's a quiet place?
outOfDomain	Is it a place with a really big room?
outOfDomain	Are there any big rooms available at the Lensfield Hotel?
outOfDomain	Can you tell me if The Hamilton Lodge offers large rooms?
outOfDomain	Could you verify that the bathrooms at Arbury Lodge are clean?
outOfDomain	Do you know a place with a good location?
outOfDomain	Is that in a good location?
outOfDomain	Do they have big rooms?
outOfDomain	is the room big like I would like?
outOfDomain	Is their internet connection stable?
outOfDomain	Does it have clean bathrooms?
outOfDomain	is it considered to be a quiet place?
outOfDomain	Does it have comfortable beds?
outOfDomain	What is the water pressure like in the shower? I'd like a place with strong water pressure.
outOfDomain	Is the staff at the Acorn friendly and accommodable?
outOfDomain	Do they have clean bathrooms?
outOfDomain	Is this place in a good location?
outOfDomain	Is it a good deal for the money?
outOfDomain	Are the beds comfortable?
outOfDomain	What are the breakfast options like there?
outOfDomain	I want a room with a nice view if possible, do you know of one?
outOfDomain	Are the breakfast options as great?
outOfDomain	Does it have a nice view?
outOfDomain	Does the hotel have big rooms?
outOfDomain	What about internet connection, I would prefer a place with very stable connection. Can you confirm on these?
outOfDomain	Before confirming, can you tell me if they have a comfortable bed?
outOfDomain	Is the staff there friendly?
outOfDomain	Are the rooms big for this place?
outOfDomain	Do you know whether the staff there is friendly? I can't stand rude service.
outOfDomain	Are there any big rooms available at the Hamiliton Lodge?
outOfDomain	Is the staff there friendly?
outOfDomain	Do they have big rooms?
outOfDomain	First, do they have clean bathrooms?
outOfDomain	Before I book, how is the view from the room?
outOfDomain	I don't want to go anywhere with a rude staff.  Are the people there friendly?
outOfDomain	First, can you please advise if that place is a good value for the money?
outOfDomain	Could you tell me if the internet connection is stable?
outOfDomain	Is the water pressure in the shower strong?
outOfDomain	Is the staff at the worth house friendly?
outOfDomain	Are there good views from the room?
outOfDomain	Is it stable enough?
outOfDomain	Are the rooms clean?
outOfDomain	Is that the place with the good breakfast options?
outOfDomain	How are the staffs there?
outOfDomain	Is the internet there good and stable?
outOfDomain	I'm on a budget so I need to verify that the rooms are a good value?
outOfDomain	Is it in a quiet location?
outOfDomain	Will you find me a place with a good view from the room?
outOfDomain	Yes, do you know if the bathroom are clean?
outOfDomain	Are the rooms there large or small?
outOfDomain	Is it located in a quiet area?
outOfDomain	Yes, and I would also like to know if the beds are soft and comfortable?
outOfDomain	Are their rooms pretty sizable?
